orderid,itemid,cmtid,ctime,rating,userid,shopid,comment,rating_star,skin_suitability,absorption,model_name
123164916130883,3034933556,10195539238,1669821813,1,402795120,423318317,"Penghantaran cepat, bungkusan baik, service terbaik, harga products juga berbaloi.",5,,,QUICK & EASY KIT
118322738222043,3034933556,9735773279,1664965868,1,19004272,423318317,"Skin Suitability:Tersangatlah sesuai untuk orang yang kulit Berjerawat Berminyak dan Sensetif
Absorption:Penyerapan yang sangat cepat

Barang dibungkus dengan baik dan penghantaran sangat laju",5,Tersangatlah sesuai untuk orang yang kulit Berjerawat Berminyak dan Sensetif,Penyerapan yang sangat cepat,Skintella Moisturzer
92501068466955,3034933556,6837430904,1638965177,1,242230530,423318317,"Good product quality...very responsive seller, very fast delivery..trusted seller.. recommended for those who want to buy kayman products..👍👍👍",5,,,Serum + Essence
114863688233032,3034933556,9367002011,1661343543,1,115518214,423318317,love the service from this shopp! fast ship out and all in good condition 🫶🏻,5,,,HoneyGlo Exfoliant
131474872203269,3034933556,11091290594,1679833301,1,13713585,423318317,"Absorption:ok
Skin Suitability:ok ok ja

Safely arrived in good  condition 
No crack or broken 
Good packaging 
Fast delivery 
Sent wrong item.ordered rosa glow but received hgne.but its ok la since bothpun essence",4,,,NEW Skintella Serum
98773698605598,3034933556,7540458231,1645330582,1,305744826,423318317,"Skin Suitability:10000/100000
Absorption:10000/1000000000

Good service! Cepat sampai and packaging pun bagus takda rosak.",5,10000/100000,10000/1000000000,HoneyGlo + Free Mitt
131901337273549,3034933556,10987236407,1678673543,1,223985240,423318317,"Skin Suitability:Bagus
Absorption:Bagus

Barang sampai dalam keadaan baik. Harga murah. Terima kasih bagi gift",5,Bagus,Bagus,NEW Coalberry
116516756281254,3034933556,9551899030,1663080160,1,97018886,423318317,"Skin Suitability:first time
Absorption:first time

Tq seller parcel arrived in a good condition, what a cute product display also fast delivery I guess.",5,first time,first time,Boing-Boing Kit+Sock
134884860223266,3034933556,11437854365,1683457812,1,103743425,423318317,"Skin Suitability:for acne skin
Absorption:good

Harga just nice...best pakai sabun ni ye.",5,for acne skin,good,Coalface Soap
122535602273227,3034933556,10129805246,1669136727,1,209436724,423318317,"Skin Suitability:sesuai dgn dry skin
Absorption:cepat sangat serap ok

Tak melekit kat muka dan mudah digunakan",5,sesuai dgn dry skin,cepat sangat serap ok,Skintella Moisturzer
